[2020-02-07 15:21:30,798][Thread-10:19164][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468317459.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,799][Thread-8:15324][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468437402.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,802][Thread-11:18488][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468249951.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,804][Thread-32:14164][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,824][Thread-33:18596][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,829][Thread-34:12560][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,830][Thread-35:9744][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,834][Thread-36:15208][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,838][Thread-12:8968][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468221100.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,845][Thread-14:18796][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468130420.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,847][Thread-37:6424][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,849][Thread-13:8292][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468157427.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,852][Thread-15:18084][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468068236.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,854][Thread-16:17764][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/468068215.html HTTP/1.1" 200 None]
[2020-02-07 15:21:30,861][Thread-38:18560][task_id:urllib3.connectionpool][connectionpool.py->_new_conn:205][DEBUG][Starting new HTTP connection (1): www.biqukan.com:80]
[2020-02-07 15:21:30,864][Thread-19:8396][task_id:urllib3.connectionpool][connectionpool.py->_make_request:393][DEBUG][https://www.biqukan.com:443 "GET /65_65593/467520742.html HTTP/1.1" 200 None]
